SampleID	DNAPlate	Tube	AnimalID	Year	Cohort2	Cohort	Date	Sex	Diet	Location
S212	1	20	8965	2013	1	UNL1	5/17/13	Steer	Common	UNL
S479	7	88	8966	2013	1	UNL1	5/17/13	Steer	Common	UNL
S466	7	79	8968	2013	1	UNL1	5/17/13	Steer	Common	UNL
S394	7	73	8969	2013	1	UNL1	5/17/13	Steer	Common	UNL
S430	7	76	8970	2013	1	UNL1	5/17/13	Steer	Common	UNL
S214	1	22	8971	2013	1	UNL1	5/17/13	Steer	Common	UNL
S424	7	28	8972	2013	1	UNL1	5/17/13	Steer	Common	UNL
S211	1	19	8973	2013	1	UNL1	5/17/13	Steer	Common	UNL
S465	7	71	8974	2013	1	UNL1	5/17/13	Steer	Common	UNL
S444	7	93	8975	2013	1	UNL1	5/17/13	Steer	Common	UNL
S436	7	29	8976	2013	1	UNL1	5/17/13	Steer	Common	UNL
S458	7	15	8978	2013	1	UNL1	5/17/13	Steer	Common	UNL
S217	1	25	8979	2013	1	UNL1	5/17/13	Steer	Common	UNL
S216	1	24	8981	2013	1	UNL1	5/17/13	Steer	Common	UNL
S434	7	13	8983	2013	1	UNL1	5/17/13	Steer	Common	UNL
S423	7	20	8984	2013	1	UNL1	5/17/13	Steer	Common	UNL
S220	1	28	8988	2013	1	UNL1	5/17/13	Steer	Common	UNL
S387	7	17	8989	2013	1	UNL1	5/17/13	Steer	Common	UNL
S435	7	21	8991	2013	1	UNL1	5/17/13	Steer	Common	UNL
S411	7	19	8995	2013	1	UNL1	5/17/13	Steer	Common	UNL
S218	1	26	8996	2013	1	UNL1	5/17/13	Steer	Common	UNL
S399	7	18	8997	2013	1	UNL1	5/17/13	Steer	Common	UNL
S28	3	28	2452	2013	2	UNL2	11/1/13	Steer	Common	UNL
S30	3	30	2453	2013	2	UNL2	11/1/13	Steer	Common	UNL
S37	3	37	2454	2013	2	UNL2	11/1/13	Steer	Common	UNL
S33	3	33	2456	2013	2	UNL2	11/1/13	Steer	Common	UNL
S36	3	36	2457	2013	2	UNL2	11/1/13	Steer	Common	UNL
S34	3	34	2458	2013	2	UNL2	11/1/13	Steer	Common	UNL
S31	3	31	2459	2013	2	UNL2	11/1/13	Steer	Common	UNL
S27	3	27	2460	2013	2	UNL2	11/1/13	Steer	Common	UNL
S25	3	25	2461	2013	2	UNL2	11/1/13	Steer	Common	UNL
S29	3	29	2462	2013	2	UNL2	11/1/13	Steer	Common	UNL
S35	3	35	2463	2013	2	UNL2	11/1/13	Steer	Common	UNL
S13	3	13	2464	2013	2	UNL2	11/1/13	Steer	Common	UNL
S32	3	32	2465	2013	2	UNL2	11/1/13	Steer	Common	UNL
S39	3	39	2466	2013	2	UNL2	11/1/13	Steer	Common	UNL
S26	3	26	2467	2013	2	UNL2	11/1/13	Steer	Common	UNL
S24	3	24	2468	2013	2	UNL2	11/1/13	Steer	Common	UNL
S44	3	44	2469	2013	2	UNL2	11/1/13	Steer	Common	UNL
S42	3	42	2470	2013	2	UNL2	11/1/13	Steer	Common	UNL
S46	3	46	2471	2013	2	UNL2	11/1/13	Steer	Common	UNL
S47	3	47	2473	2013	2	UNL2	11/1/13	Steer	Common	UNL
S3	3	3	2474	2013	2	UNL2	11/1/13	Steer	Common	UNL
S1	3	1	2475	2013	2	UNL2	11/1/13	Steer	Common	UNL
S41	3	41	2476	2013	2	UNL2	11/1/13	Steer	Common	UNL
S7	3	7	2477	2013	2	UNL2	11/1/13	Steer	Common	UNL
S2	3	2	2478	2013	2	UNL2	11/1/13	Steer	Common	UNL
S43	3	43	2479	2013	2	UNL2	11/1/13	Steer	Common	UNL
S48	3	48	2481	2013	2	UNL2	11/1/13	Steer	Common	UNL
S11	3	11	2483	2013	2	UNL2	11/1/13	Steer	Common	UNL
S45	3	45	2485	2013	2	UNL2	11/1/13	Steer	Common	UNL
S8	3	8	2486	2013	2	UNL2	11/1/13	Steer	Common	UNL
S40	3	40	2487	2013	2	UNL2	11/1/13	Steer	Common	UNL
S15	3	15	2490	2013	2	UNL2	11/1/13	Steer	Common	UNL
S50	3	50	2491	2013	2	UNL2	11/1/13	Steer	Common	UNL
S51	3	51	2492	2013	2	UNL2	11/1/13	Steer	Common	UNL
S14	3	14	2493	2013	2	UNL2	11/1/13	Steer	Common	UNL
S21	3	21	2494	2013	2	UNL2	11/1/13	Steer	Common	UNL
S52	3	52	2497	2013	2	UNL2	11/1/13	Steer	Common	UNL
S4	3	4	2499	2013	2	UNL2	11/1/13	Steer	Common	UNL
S53	3	53	2500	2013	2	UNL2	11/1/13	Steer	Common	UNL
S23	3	23	2502	2013	2	UNL2	11/1/13	Steer	Common	UNL
S10	3	10	2503	2013	2	UNL2	11/1/13	Steer	Common	UNL
S59	3	59	2505	2013	2	UNL2	11/1/13	Steer	Common	UNL
S22	3	22	2506	2013	2	UNL2	11/1/13	Steer	Common	UNL
S18	3	18	2507	2013	2	UNL2	11/1/13	Steer	Common	UNL
S57	3	57	2512	2013	2	UNL2	11/1/13	Steer	Common	UNL
S58	3	58	2513	2013	2	UNL2	11/1/13	Steer	Common	UNL
S19	3	19	2517	2013	2	UNL2	11/1/13	Steer	Common	UNL
S5	3	5	2519	2013	2	UNL2	11/1/13	Steer	Common	UNL
S20	3	20	2520	2013	2	UNL2	11/1/13	Steer	Common	UNL
S17	3	17	2521	2013	2	UNL2	11/1/13	Steer	Common	UNL
S623	5	239	2535	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S226	1	34	2536	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S638	5	254	2537	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S225	1	33	2538	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S224	1	32	2539	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S622	5	238	2540	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S640	5	256	2541	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S223	1	31	2543	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S639	5	255	2544	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S660	5	276	2546	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S626	5	242	2547	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S624	5	240	2549	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S625	5	241	2550	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S627	5	243	2552	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S636	5	252	2555	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S632	5	248	2557	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S629	5	245	2558	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S667	5	283	2559	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S631	5	247	2563	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S630	5	246	2566	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S663	5	279	2568	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S635	5	251	2571	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S659	5	275	2574	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S634	5	250	2577	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S657	5	273	2578	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S654	5	270	2579	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S653	5	269	2580	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S656	5	272	2583	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S658	5	274	2584	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S650	5	266	2585	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S229	1	37	2586	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S662	5	278	2588	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S655	5	271	2589	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S649	5	265	2591	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S647	5	263	2593	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S648	5	264	2595	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S661	5	277	2596	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S227	1	35	2597	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S651	5	267	2598	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S652	5	268	2599	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S646	5	262	2600	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S637	5	253	2602	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S664	5	280	2607	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S643	5	259	2608	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S668	5	284	2609	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S642	5	258	2610	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S641	5	257	2611	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S228	1	36	2614	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S665	5	281	2617	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S644	5	260	2620	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S666	5	282	3070	"June, 2014"	3	UNL3	6/20/14	Steer	Common	UNL
S153	4	153	5535	2015	4	UNL4	6/1/15	Steer	Common	UNL
S159	4	159	5537	2015	4	UNL4	6/1/15	Steer	Common	UNL
S155	4	155	5538	2015	4	UNL4	6/1/15	Steer	Common	UNL
S144	4	144	5540	2015	4	UNL4	6/1/15	Steer	Common	UNL
S168	4	168	5542	2015	4	UNL4	6/1/15	Steer	Common	UNL
S156	4	156	5543	2015	4	UNL4	6/1/15	Steer	Common	UNL
S154	4	154	5545	2015	4	UNL4	6/1/15	Steer	Common	UNL
S140	4	140	5546	2015	4	UNL4	6/1/15	Steer	Common	UNL
S167	4	167	5547	2015	4	UNL4	6/1/15	Steer	Common	UNL
S160	4	160	5548	2015	4	UNL4	6/1/15	Steer	Common	UNL
S149	4	149	5549	2015	4	UNL4	6/1/15	Steer	Common	UNL
S150	4	150	5553	2015	4	UNL4	6/1/15	Steer	Common	UNL
S131	4	131	5554	2015	4	UNL4	6/1/15	Steer	Common	UNL
S145	4	145	5556	2015	4	UNL4	6/1/15	Steer	Common	UNL
S121	4	121	5557	2015	4	UNL4	6/1/15	Steer	Common	UNL
S120	4	120	5559	2015	4	UNL4	6/1/15	Steer	Common	UNL
S141	4	141	5560	2015	4	UNL4	6/1/15	Steer	Common	UNL
S122	4	122	5561	2015	4	UNL4	6/1/15	Steer	Common	UNL
S127	4	127	5562	2015	4	UNL4	6/1/15	Steer	Common	UNL
S125	4	125	5563	2015	4	UNL4	6/1/15	Steer	Common	UNL
S157	4	157	5565	2015	4	UNL4	6/1/15	Steer	Common	UNL
S166	4	166	5567	2015	4	UNL4	6/1/15	Steer	Common	UNL
S158	4	158	5568	2015	4	UNL4	6/1/15	Steer	Common	UNL
S172	4	172	5571	2015	4	UNL4	6/1/15	Steer	Common	UNL
S123	4	123	5572	2015	4	UNL4	6/1/15	Steer	Common	UNL
S126	4	126	5573	2015	4	UNL4	6/1/15	Steer	Common	UNL
S133	4	133	5574	2015	4	UNL4	6/1/15	Steer	Common	UNL
S138	4	138	5575	2015	4	UNL4	6/1/15	Steer	Common	UNL
S128	4	128	5578	2015	4	UNL4	6/1/15	Steer	Common	UNL
S139	4	139	5580	2015	4	UNL4	6/1/15	Steer	Common	UNL
S134	4	134	5581	2015	4	UNL4	6/1/15	Steer	Common	UNL
S129	4	129	5582	2015	4	UNL4	6/1/15	Steer	Common	UNL
S124	4	124	5583	2015	4	UNL4	6/1/15	Steer	Common	UNL
S151	4	151	5584	2015	4	UNL4	6/1/15	Steer	Common	UNL
S164	4	164	5586	2015	4	UNL4	6/1/15	Steer	Common	UNL
S148	4	148	5588	2015	4	UNL4	6/1/15	Steer	Common	UNL
S163	4	163	5589	2015	4	UNL4	6/1/15	Steer	Common	UNL
S142	4	142	5590	2015	4	UNL4	6/1/15	Steer	Common	UNL
S146	4	146	5592	2015	4	UNL4	6/1/15	Steer	Common	UNL
S173	4	173	5593	2015	4	UNL4	6/1/15	Steer	Common	UNL
S162	4	162	5595	2015	4	UNL4	6/1/15	Steer	Common	UNL
S136	4	136	5598	2015	4	UNL4	6/1/15	Steer	Common	UNL
S135	4	135	5600	2015	4	UNL4	6/1/15	Steer	Common	UNL
S132	4	132	5602	2015	4	UNL4	6/1/15	Steer	Common	UNL
S169	4	169	5603	2015	4	UNL4	6/1/15	Steer	Common	UNL
S152	4	152	5604	2015	4	UNL4	6/1/15	Steer	Common	UNL
S170	4	170	5605	2015	4	UNL4	6/1/15	Steer	Common	UNL
S147	4	147	5606	2015	4	UNL4	6/1/15	Steer	Common	UNL
S592	5	208	5608	2015	4	UNL4	6/1/15	Steer	Common	UNL
S143	4	143	5609	2015	4	UNL4	6/1/15	Steer	Common	UNL
S593	5	209	5611	2015	4	UNL4	6/1/15	Steer	Common	UNL
S137	4	137	5613	2015	4	UNL4	6/1/15	Steer	Common	UNL
S174	4	174	5614	2015	4	UNL4	6/1/15	Steer	Common	UNL
S175	4	175	5616	2015	4	UNL4	6/1/15	Steer	Common	UNL
S171	4	171	5617	2015	4	UNL4	6/1/15	Steer	Common	UNL
S130	4	130	5681	2015	4	UNL4	6/1/15	Steer	Common	UNL
S587	5	203	5485	2015	5	UNL5	6/2/15	Steer	Common	UNL
S188	4	188	5486	2015	5	UNL5	6/2/15	Steer	Common	UNL
S605	5	221	5488	2015	5	UNL5	6/2/15	Steer	Common	UNL
S177	4	177	5489	2015	5	UNL5	6/2/15	Steer	Common	UNL
S577	5	193	5491	2015	5	UNL5	6/2/15	Steer	Common	UNL
S602	5	218	5492	2015	5	UNL5	6/2/15	Steer	Common	UNL
S187	4	187	5493	2015	5	UNL5	6/2/15	Steer	Common	UNL
S186	4	186	5494	2015	5	UNL5	6/2/15	Steer	Common	UNL
S594	5	210	5495	2015	5	UNL5	6/2/15	Steer	Common	UNL
S579	5	195	5496	2015	5	UNL5	6/2/15	Steer	Common	UNL
S619	5	235	5497	2015	5	UNL5	6/2/15	Steer	Common	UNL
S178	4	178	5499	2015	5	UNL5	6/2/15	Steer	Common	UNL
S588	5	204	5500	2015	5	UNL5	6/2/15	Steer	Common	UNL
S583	5	199	5501	2015	5	UNL5	6/2/15	Steer	Common	UNL
S598	5	214	5502	2015	5	UNL5	6/2/15	Steer	Common	UNL
S597	5	213	5504	2015	5	UNL5	6/2/15	Steer	Common	UNL
S181	4	181	5505	2015	5	UNL5	6/2/15	Steer	Common	UNL
S611	5	227	5506	2015	5	UNL5	6/2/15	Steer	Common	UNL
S176	4	176	5507	2015	5	UNL5	6/2/15	Steer	Common	UNL
S192	4	192	5509	2015	5	UNL5	6/2/15	Steer	Common	UNL
S613	5	229	5510	2015	5	UNL5	6/2/15	Steer	Common	UNL
S189	4	189	5511	2015	5	UNL5	6/2/15	Steer	Common	UNL
S591	5	207	5514	2015	5	UNL5	6/2/15	Steer	Common	UNL
S584	5	200	5516	2015	5	UNL5	6/2/15	Steer	Common	UNL
S582	5	198	5518	2015	5	UNL5	6/2/15	Steer	Common	UNL
S612	5	228	5519	2015	5	UNL5	6/2/15	Steer	Common	UNL
S617	5	233	5520	2015	5	UNL5	6/2/15	Steer	Common	UNL
S185	4	185	5522	2015	5	UNL5	6/2/15	Steer	Common	UNL
S585	5	201	5523	2015	5	UNL5	6/2/15	Steer	Common	UNL
S596	5	212	5524	2015	5	UNL5	6/2/15	Steer	Common	UNL
S581	5	197	5525	2015	5	UNL5	6/2/15	Steer	Common	UNL
S600	5	216	5527	2015	5	UNL5	6/2/15	Steer	Common	UNL
S179	4	179	5529	2015	5	UNL5	6/2/15	Steer	Common	UNL
S590	5	206	5530	2015	5	UNL5	6/2/15	Steer	Common	UNL
S578	5	194	5532	2015	5	UNL5	6/2/15	Steer	Common	UNL
S608	5	224	5534	2015	5	UNL5	6/2/15	Steer	Common	UNL
S180	4	180	5539	2015	5	UNL5	6/2/15	Steer	Common	UNL
S184	4	184	5558	2015	5	UNL5	6/2/15	Steer	Common	UNL
S183	4	183	5564	2015	5	UNL5	6/2/15	Steer	Common	UNL
S161	4	161	5566	2015	5	UNL5	6/2/15	Steer	Common	UNL
S191	4	191	5577	2015	5	UNL5	6/2/15	Steer	Common	UNL
S580	5	196	5591	2015	5	UNL5	6/2/15	Steer	Common	UNL
S589	5	205	5594	2015	5	UNL5	6/2/15	Steer	Common	UNL
S595	5	211	5601	2015	5	UNL5	6/2/15	Steer	Common	UNL
S616	5	232	5610	2015	5	UNL5	6/2/15	Steer	Common	UNL
S601	5	217	5618	2015	5	UNL5	6/2/15	Steer	Common	UNL
S603	5	219	5619	2015	5	UNL5	6/2/15	Steer	Common	UNL
S606	5	222	5620	2015	5	UNL5	6/2/15	Steer	Common	UNL
S182	4	182	5621	2015	5	UNL5	6/2/15	Steer	Common	UNL
S604	5	220	5626	2015	5	UNL5	6/2/15	Steer	Common	UNL
S610	5	226	5627	2015	5	UNL5	6/2/15	Steer	Common	UNL
S599	5	215	5629	2015	5	UNL5	6/2/15	Steer	Common	UNL
S607	5	223	5630	2015	5	UNL5	6/2/15	Steer	Common	UNL
S620	5	236	5631	2015	5	UNL5	6/2/15	Steer	Common	UNL
S614	5	230	5632	2015	5	UNL5	6/2/15	Steer	Common	UNL
S586	5	202	5726	2015	5	UNL5	6/2/15	Steer	Common	UNL
S346	6	77	81223	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S713	8	39	81224	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S369	6	71	81226	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S362	6	15	81227	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S719	8	40	81228	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S678	8	41	81231	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S376	6	32	81232	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S380	6	64	81233	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S684	8	42	81234	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S690	8	43	81235	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S350	6	14	81237	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S378	6	48	81238	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S696	8	44	81243	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S318	6	43	81245	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S293	6	33	81247	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S702	8	45	81256	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S358	6	78	81259	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S708	8	46	81262	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S311	6	82	81264	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S319	6	51	81265	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S332	6	60	81267	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S295	6	49	81268	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S571	2	187	81271	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S296	6	57	81273	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S714	8	47	81274	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S706	8	30	81275	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S320	6	59	81276	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S712	8	31	81277	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S718	8	32	81279	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S677	8	33	81286	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S301	6	2	81290	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S317	6	35	81291	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S337	6	5	81292	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S683	8	34	81293	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S689	8	35	81294	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S695	8	36	81296	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S305	6	34	81298	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S331	6	52	81301	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S701	8	37	81303	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S707	8	38	81306	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S700	8	29	81308	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
S341	6	37	81310	2009	6	USMARC1	10/1/09	Heifer	Growing	USMARC
